FIRE_ID,SIZE_HA,SRC_AGENCY,REP_DATE,OUT_DATE,S2FileName,numofpixels
2020-K51287,2141.5,BC,2020-08-18,NaT,S2A_10UGV_20200825_1_L2A,8180
2020-K51287,2141.5,BC,2020-08-18,NaT,S2A_10UGV_20200825_0_L2A,9460
2020-K51287,2141.5,BC,2020-08-18,NaT,S2A_11ULQ_20200825_1_L2A,8141
2020-K51287,2141.5,BC,2020-08-18,NaT,S2A_11ULQ_20200825_0_L2A,9441
2020-K51287,2141.5,BC,2020-08-18,NaT,S2A_10UGV_20200822_1_L2A,1128
2020-K51287,2141.5,BC,2020-08-18,NaT,S2A_10UGV_20200822_0_L2A,1898
2020-K51287,2141.5,BC,2020-08-18,NaT,S2A_11ULQ_20200822_1_L2A,1134
2020-K51287,2141.5,BC,2020-08-18,NaT,S2A_11ULQ_20200822_0_L2A,1994
2020-K51287,2141.5,BC,2020-08-18,NaT,S2B_10UGV_20200820_1_L2A,605
2020-K51287,2141.5,BC,2020-08-18,NaT,S2B_10UGV_20200820_0_L2A,550
2020-K51287,2141.5,BC,2020-08-18,NaT,S2B_11ULQ_20200820_1_L2A,490
2020-K51287,2141.5,BC,2020-08-18,NaT,S2B_11ULQ_20200820_0_L2A,538
2020-N21257,7645.5,BC,2020-08-17,NaT,S2B_11UNR_20200824_1_L2A,97186
2020-N21257,7645.5,BC,2020-08-17,NaT,S2B_11UNR_20200824_0_L2A,98870
2020-N21257,7645.5,BC,2020-08-17,NaT,S2A_11UNR_20200822_1_L2A,72859
2020-N21257,7645.5,BC,2020-08-17,NaT,S2A_11UNR_20200822_0_L2A,76693
2020-N21257,7645.5,BC,2020-08-17,NaT,S2A_11UNR_20200819_0_L2A,119237
2020-N21257,7645.5,BC,2020-08-17,NaT,S2A_11UNR_20200819_1_L2A,112613
2020-N21257,7645.5,BC,2020-08-17,NaT,S2B_11UNR_20200817_1_L2A,97047
2020-N21257,7645.5,BC,2020-08-17,NaT,S2B_11UNR_20200817_0_L2A,109261
2020-N51250,1303.1,BC,2020-08-17,NaT,S2A_11UMQ_20200822_1_L2A,11874
2020-N51250,1303.1,BC,2020-08-17,NaT,S2A_11UMQ_20200822_0_L2A,14467
2020-N51250,1303.1,BC,2020-08-17,NaT,S2A_11UMR_20200822_1_L2A,11900
2020-N51250,1303.1,BC,2020-08-17,NaT,S2A_11UMR_20200822_0_L2A,14559
2020-N51250,1303.1,BC,2020-08-17,NaT,S2B_11UMQ_20200817_1_L2A,31498
2020-N51250,1303.1,BC,2020-08-17,NaT,S2B_11UMQ_20200817_0_L2A,31530
2020-N51250,1303.1,BC,2020-08-17,NaT,S2B_11UMR_20200817_1_L2A,31493
2020-N51250,1303.1,BC,2020-08-17,NaT,S2B_11UMR_20200817_0_L2A,31529
2020-N71114,1159.8,BC,2020-07-16,NaT,S2A_11UMR_20200723_1_L2A,5087
2020-N71114,1159.8,BC,2020-07-16,NaT,S2A_11UMR_20200723_0_L2A,7271
2020-N71114,1159.8,BC,2020-07-16,NaT,S2A_11UNR_20200723_1_L2A,611
2020-N71114,1159.8,BC,2020-07-16,NaT,S2A_11UNR_20200723_0_L2A,1495
2020-N71114,1159.8,BC,2020-07-16,NaT,S2A_11UMR_20200720_1_L2A,7094
2020-N71114,1159.8,BC,2020-07-16,NaT,S2A_11UMR_20200720_0_L2A,7530
2020-N71114,1159.8,BC,2020-07-16,NaT,S2A_11UNR_20200720_1_L2A,3782
2020-N71114,1159.8,BC,2020-07-16,NaT,S2A_11UNR_20200720_0_L2A,3868
2020-N71114,1159.8,BC,2020-07-16,NaT,S2B_11UMR_20200718_1_L2A,19146
2020-N71114,1159.8,BC,2020-07-16,NaT,S2B_11UMR_20200718_0_L2A,19770
2020-N71114,1159.8,BC,2020-07-16,NaT,S2B_11UNR_20200718_1_L2A,4131
2020-N71114,1159.8,BC,2020-07-16,NaT,S2B_11UNR_20200718_0_L2A,4215
2020-V30067,204.0,BC,2020-04-15,NaT,S2A_10UDA_20200420_0_L2A,593
2020-V30067,204.0,BC,2020-04-15,NaT,S2A_10UDA_20200420_1_L2A,541
2020-V30067,204.0,BC,2020-04-15,NaT,S2B_10UDA_20200418_1_L2A,1835
2020-V30067,204.0,BC,2020-04-15,NaT,S2B_10UDA_20200418_0_L2A,2091
2020-V30067,204.0,BC,2020-04-15,NaT,S2B_10UDA_20200415_1_L2A,3984
2020-V30067,204.0,BC,2020-04-15,NaT,S2B_10UDA_20200415_0_L2A,3930
2020-V31179,367.5,BC,2020-08-16,NaT,S2B_10UEA_20200823_1_L2A,0
2020-V31179,367.5,BC,2020-08-16,NaT,S2B_10UEA_20200823_0_L2A,0
2020-V31179,367.5,BC,2020-08-16,NaT,S2A_10UEA_20200818_1_L2A,8677
2020-V31179,367.5,BC,2020-08-16,NaT,S2A_10UEA_20200818_0_L2A,8688
2020-V51227,380.7,BC,2020-08-17,NaT,S2A_10UCB_20200821_0_L2A,0
2020-V51227,380.7,BC,2020-08-17,NaT,S2A_10UCB_20200821_1_L2A,0
